housing_median_age,total_rooms,total_bedrooms,population,median_house_value
29,335,107,202,125000
22,3682,1270,2024,170000
37,3633,1085,1838,193100
29,4656,1414,2304,257800
28,5806,1603,2563,273400
39,854,242,389,237500
52,2155,701,895,350000
34,5871,1914,2689,335700
52,1509,225,674,313400
52,2026,482,709,268500
52,1758,460,686,259400
52,3481,751,1444,275700
28,3337,855,1520,225000
52,1424,289,550,262500
32,3809,1098,1806,218500
26,3959,1196,1749,255000
52,2376,559,939,224100
35,1613,428,675,243100
52,1279,287,534,231600
28,5022,1750,2558,218500
52,4190,1105,1786,234100
50,2515,399,970,327600
47,3175,454,1098,347600
41,2576,406,794,366100
37,334,54,98,335000
52,2800,411,1061,373600
52,3529,574,1177,389500
52,2612,365,901,391100
28,5287,1048,2031,337300
50,2935,473,1031,295200
44,3424,597,1358,292300
40,4991,674,1616,411500
30,2211,346,844,311500
34,3038,490,1140,325900
18,1617,210,533,392600
35,2865,460,1072,319300
34,5065,788,1627,333300
28,1326,184,463,335200
26,1589,223,542,351200
29,1791,271,661,368900
32,1835,264,635,365900
37,1229,181,420,366700
39,3770,534,1265,362800
30,292,38,126,483300
52,2375,333,813,331400
45,2964,436,1067,323500
50,2833,605,1260,216700
38,2254,535,951,233100
52,1389,212,510,296400
52,1971,335,765,273700
52,2183,465,1129,227700
52,2286,464,1073,199600
52,2721,541,1185,239800
52,2024,339,756,270100
52,2944,536,1034,302100
52,2033,486,787,269500
52,1433,229,612,314700
52,2927,402,1021,390100
52,2315,292,861,410300
52,2485,313,953,352400
52,1490,238,634,287300
52,2814,365,878,348700
52,2093,550,918,243800
52,888,168,360,211500
52,2087,510,1197,218400
52,2513,502,1048,269900
46,3232,835,1373,218800
42,4120,1065,1715,225000
43,2364,792,1359,250000
41,1471,469,1062,171400
29,2468,864,1335,193800
27,1632,492,1171,125000
45,1786,526,1475,97500
50,629,188,742,125000
52,1339,391,1086,138800
36,1678,606,1645,116700
43,2344,647,1710,151800
52,996,228,731,127000
52,1591,373,1118,128600
52,1586,398,1006,140600
47,2046,588,1213,182700
52,1192,289,772,146900
52,1803,420,1321,122800
49,2838,749,1487,169300
52,783,184,488,126600
51,1590,414,949,127900
50,1746,480,1149,123500
52,1252,299,844,111900
43,5963,1344,4367,112800
52,1783,395,1659,107900
30,999,264,1011,137500
39,1469,431,1464,105500
47,1372,395,1237,95500
52,674,180,647,116100
43,1626,376,1284,112200
51,175,43,228,75000
39,461,129,381,112500
52,902,237,846,125000
20,2373,779,1659,115000
52,391,128,520,95000
52,1137,301,866,96400
52,769,206,612,72000
52,472,146,415,71300
52,862,215,994,80800
50,1920,530,1525,128800
43,1420,472,1506,112500
52,986,258,1008,119400
44,2340,825,2813,118100
48,1696,396,1481,122500
49,1175,217,859,106300
37,2343,574,1608,132500
30,610,145,425,122700
40,930,199,564,113300
44,1487,314,961,109500
52,3424,690,2273,164700
52,762,190,600,125000
46,2366,575,1647,124700
49,1826,450,1201,136700
38,3049,711,2167,141700
29,1640,376,939,150000
47,1543,307,859,138800
34,2364,557,1517,139200
35,1745,409,1143,143800
39,2003,500,1109,156500
39,2018,447,1221,151000
43,3045,499,1115,273000
52,1547,293,706,217100
52,3519,711,1883,187100
41,2070,354,804,239600
48,1321,263,506,229700
48,1694,259,610,257300
46,1938,341,768,246900
50,968,195,462,179900
40,1060,256,667,169600
46,2041,405,1059,203300
52,1813,271,637,263400
45,2718,451,1106,231800
28,3144,761,1737,140500
35,1802,459,1009,126000
49,882,195,737,122000
44,1621,452,1354,134700
45,2115,533,1530,139400
45,2021,528,1410,115400
46,2239,508,1390,137300
52,1477,300,1065,137000
52,1056,224,792,142600
49,898,244,779,137500
44,2968,710,2269,111700
43,1702,460,1227,126800
47,881,248,753,111300
40,494,114,547,114800
50,1776,473,1807,102300
44,1678,514,1700,131900
51,1637,463,1543,119100
52,1420,314,1085,80600
52,591,173,353,80600
52,745,153,473,88800
49,2272,498,1621,102400
46,1234,375,1183,98700
43,1017,328,836,100000
42,932,254,900,92300
39,2689,597,1888,94800
41,1547,415,1024,102000
52,2300,443,1225,158400
39,1752,399,1071,121600
50,1867,403,1128,129100
43,2430,502,1537,121400
44,1729,414,1240,102800
52,1026,180,469,160000
52,2170,428,1086,143900
52,2329,445,1144,151200
52,2492,415,1109,164400
52,2198,397,984,156500
33,142,31,575,225000
49,1183,205,496,174200
52,1070,193,555,166900
45,1766,332,869,163500
39,617,95,236,253000
41,1411,233,626,240700
46,2109,387,922,208100
47,1229,243,582,198100
50,954,217,546,172800
37,1643,262,620,336700
34,1355,195,442,318200
23,2317,336,955,285800
24,2459,317,916,293000
22,12842,2048,4985,371000
42,1524,260,651,157300
30,3326,746,1704,135300
43,1985,440,1085,136700
50,1642,322,713,160700
49,893,177,468,140600
52,653,128,296,144000
48,977,194,446,156300
45,2324,397,968,176000
39,1583,349,857,145800
39,1612,342,912,141900
31,2424,533,1360,90700
41,1594,367,1074,90600
47,2118,413,965,107900
37,1575,358,933,107000
38,1764,397,987,98200
50,1187,261,907,89500
52,754,175,447,93800
49,2308,452,1299,96700
27,909,236,396,97500
42,1180,257,877,97300
43,2018,408,1111,91200
49,1368,282,790,91400
52,2744,547,1479,96200
51,2107,471,1173,120100
52,1748,362,1029,100000
52,2024,391,1030,94700
47,1116,259,826,85700
41,2036,510,1412,89300
45,1852,393,1132,101400
41,921,207,522,72500
45,995,238,630,74100
36,606,132,531,70000
37,2680,736,1925,84600
38,1493,370,1144,81800
19,2207,565,1481,81400
28,856,189,435,81800
26,1293,297,984,85800
36,847,212,567,87100
42,541,154,380,83500
44,1066,253,825,79700
43,707,147,417,83400
45,1528,291,801,84700
42,909,215,646,80000
43,1391,293,855,76400
44,548,119,435,79700
42,4074,874,2736,82400
41,1613,445,1481,97700
47,463,134,327,97200
43,818,193,494,101600
43,1473,371,1231,86500
35,504,126,323,90500
46,1026,226,749,107600
46,769,183,693,84200
46,2103,391,1339,88900
45,330,76,282,80700
46,941,218,621,87100
45,990,261,901,82000
36,1126,263,482,82800
43,1036,233,652,84600
36,1047,214,651,82100
33,1280,307,999,89300
43,1587,320,907,98300
41,1257,271,828,92300
44,1218,248,763,88800
48,1751,390,935,90000
45,2299,514,1437,95500
38,2457,624,1516,91700
47,998,211,597,100400
40,1685,343,949,94800
46,1827,307,881,164300
36,2781,574,1438,155500
39,1823,286,763,196900
27,2229,365,1297,279100
34,1513,231,545,252800
26,3266,491,1222,275400
33,1809,261,808,250000
28,794,111,329,329800
36,690,105,299,195500
33,1334,200,579,255900
30,414,54,137,311100
36,768,93,229,330000
41,4400,666,1476,248900
46,954,161,429,142900
40,1445,256,849,126300
44,1938,399,946,135800
41,856,178,571,130600
24,1790,454,1137,107900
44,617,131,378,111100
43,1383,275,853,122000
49,1325,277,764,118000
40,1227,294,928,95200
35,667,140,406,94300
34,1223,281,824,92500
37,1379,287,835,91800
43,1534,300,826,109400
46,1029,181,567,129500
52,771,147,355,143400
47,824,223,533,98200
44,1097,239,609,103100
49,1283,238,576,276800
52,1604,263,594,270900
52,2248,422,870,246200
38,2263,522,1027,224200
52,1571,349,693,229100
46,1520,402,815,211600
15,5083,1212,2420,256100
36,1077,293,518,206300
52,1248,283,620,221300
42,1342,291,551,207400
37,3061,930,2556,350000
52,3171,698,1498,218200
50,1211,261,523,216700
52,979,175,374,270600
52,2269,380,1004,261400
52,1844,332,769,261300
52,2178,421,940,232200
42,1650,274,645,375400
52,1927,279,705,357300
52,2079,273,684,374400
52,1803,240,572,358800
52,2041,270,671,417500
52,3046,373,975,430500
52,2318,328,779,362900
52,2003,250,658,397000
52,2261,328,819,346800
52,1225,169,412,327100
52,2315,408,835,290100
52,2070,329,722,292000
52,2616,473,1085,270900
52,2640,366,973,371100
52,1978,293,723,335600
37,2220,335,903,371300
41,1125,195,356,344000
52,3078,494,1005,342200
52,3706,531,1205,370900
37,3000,457,987,350000
42,2863,460,1031,368600
52,2551,417,894,391800
52,2255,410,823,415300
52,3360,648,1232,284900
52,1693,391,669,287500
44,2252,592,989,272900
52,2495,491,1058,259600
52,1193,200,506,254500
52,1172,215,489,235600
52,2159,424,824,218400
48,2365,490,1034,229200
46,1895,442,920,192100
52,1650,395,841,179300
45,453,146,749,187500
52,409,97,208,138800
10,503,118,228,150000
50,499,127,287,140600
52,477,119,218,120000
46,1647,376,854,144800
52,3123,749,1695,144800
52,957,188,403,245500
52,589,132,288,200000
49,2026,548,963,173700
50,1829,536,1129,185600
52,895,198,386,182600
52,1909,416,811,227900
46,3022,696,1293,220700
46,1777,446,805,212000
52,2803,930,1372,271400
30,1465,439,862,268800
37,2619,682,1152,277800
52,1149,255,483,332500
52,2363,604,1558,338900
52,2604,837,1798,287500
41,685,141,266,384600
42,1756,465,2184,371400
52,1204,460,2016,350000
52,609,236,1349,500001
52,1087,371,3337,175000
52,2773,998,1721,241700
35,3218,1108,1675,216700
49,1350,368,707,211300
52,3084,698,1424,210200
52,938,195,393,196400
52,1813,353,828,191700
52,1233,300,571,182300
44,2539,755,1382,175000
46,1267,324,792,165900
52,1665,404,815,156900
52,1659,367,788,164300
52,2225,460,1145,150000
50,2485,607,1354,150500
52,2031,450,958,169900
49,2932,668,1361,147400
52,2246,472,1005,152700
49,2052,435,924,182700
52,1999,417,780,179300
52,3007,691,1582,157700
41,2214,550,1213,153100
52,1088,305,486,250000
52,834,186,494,206300
52,1769,372,849,218800
52,2307,583,1127,198200
35,5161,1744,3276,253600
52,3497,832,1493,257400
52,3774,744,1461,289500
52,2888,604,1253,241700
48,2153,517,1656,489600
52,1389,191,514,446200
52,1709,318,719,456300
52,1587,444,878,336800
52,1668,225,517,500001
52,3726,474,1366,500001
52,4048,663,1316,376900
52,3618,768,1508,309600
52,4076,920,1800,182300
47,2077,400,719,172700
50,1279,300,675,150800
52,1974,426,875,153600
52,335,83,152,106300
47,1375,307,843,142300
52,610,145,281,119400
44,1025,198,506,147900
48,2063,484,1054,132900
35,1872,419,1017,132500
52,3108,813,1623,126900
14,7355,2408,3100,143800
52,2990,379,947,500001
39,2492,310,808,500001
42,2991,335,1018,500001
52,3242,366,1001,500001
52,3051,381,1005,466100
52,3494,396,1192,500001
52,1757,246,585,457800
52,2449,312,916,471600
52,1611,203,556,500001
52,3665,517,1470,398600
52,2474,403,1104,340700
52,3037,516,1242,289900
52,2269,323,805,335300
52,1316,177,378,333000
52,1153,235,481,241000
52,772,179,409,189600
52,1711,386,885,206300
52,2650,566,1468,215700
52,1038,220,482,210200
52,1527,320,825,208800
52,859,157,429,197900
52,970,217,528,201300
52,1045,239,496,190800
52,1408,280,718,207900
52,1222,264,630,215300
45,1169,263,723,212900
13,2020,535,959,292700
30,4145,869,3668,275000
42,2038,368,2037,200000
42,1241,309,821,102200
52,1468,363,870,220800
27,3997,1073,1901,242800
18,2873,763,1243,265400
50,1487,306,730,219000
52,1670,350,793,282100
52,2252,388,1033,372000
52,1731,377,872,225800
52,1710,481,849,220800
52,2388,559,1121,234500
52,2156,458,872,254200
52,1565,315,637,351800
52,1704,371,663,275000
52,1210,168,411,405400
52,2097,444,915,228100
52,1848,479,921,234000
43,955,284,585,162500
43,4329,1110,2086,243400
52,3011,542,1303,273800
52,1049,185,374,248500
52,2504,516,979,244000
52,1846,471,827,240900
52,1705,246,658,306300
50,1542,289,654,240000
27,4051,753,1499,286600
52,2646,581,1128,266700
49,2428,525,1110,229800
52,2567,436,1119,229300
21,7031,1249,2930,228400
25,1914,365,897,206200
5,18634,2885,7427,350700
31,5785,1379,2973,231000
52,2876,648,1340,252900
28,6909,1554,2974,353900
23,5679,1270,2690,291700
20,1156,365,583,100000
12,14316,2045,5781,341600
5,3596,467,1738,412500
36,3541,570,1478,248600
40,1808,302,746,254900
36,2879,480,1235,241500
26,3204,477,1411,295200
31,3866,531,1368,340400
32,2476,368,1048,274700
35,2211,350,1004,238600
35,2663,387,1086,266400
30,2599,366,922,330200
36,4569,824,1950,206800
25,2973,622,1413,209200
30,3115,625,1444,195800
31,1843,282,749,253500
31,2053,336,867,241800
27,6740,1073,2723,252500
30,1751,269,731,263900
38,1663,295,781,227000
38,3716,657,1784,220900
32,2718,447,1156,259300
39,1420,272,645,232500
37,1893,310,821,231600
33,3906,790,1912,209400
32,3400,736,1487,223200
25,3402,758,1645,209900
33,4413,1107,2239,208200
29,2304,618,1021,203800
36,2350,499,1105,195700
31,5914,1309,2999,190500
43,1575,324,740,181000
42,1414,274,629,184900
37,848,202,314,190800
15,3051,685,1479,242200
20,4296,817,1732,188300
52,2898,557,1338,183500
52,1071,201,440,204200
51,2619,403,922,251900
49,1494,316,611,187500
52,2260,416,994,198200
52,1394,223,545,219000
52,1028,129,317,275000
45,3758,819,1573,245400
46,2163,470,925,177500
49,1699,408,768,171600
52,1555,289,620,183300
52,1114,206,425,175000
45,1498,313,1003,156700
45,726,147,519,157500
38,890,200,481,179800
36,2639,533,1209,205500
35,2562,554,1398,178900
36,361,69,158,262500
42,3008,659,1817,165000
46,1369,284,766,159700
5,1692,398,814,158300
38,1007,245,618,144800
43,3783,814,2139,166300
37,1507,242,632,191000
36,666,132,366,175000
10,2229,601,877,137500
28,2215,587,830,141700
31,1616,372,739,210900
47,1190,251,540,198300
29,4169,1047,2024,157400
52,2024,320,823,264700
38,1723,394,711,218400
43,2264,390,931,235100
33,1996,268,686,341800
26,2862,394,1030,367300
35,2183,383,976,243500
35,1037,207,552,167900
25,1134,153,340,371200
39,786,132,288,218900
45,1397,253,555,202700
45,2315,451,1006,186200
44,1613,339,776,188900
44,1421,298,609,180000
18,5778,1526,2441,202700
27,3094,866,1364,181700
18,3905,1007,2197,166800
43,3046,557,1333,183700
19,3516,710,1810,218000
36,998,178,531,191500
36,1464,244,672,194700
17,1463,292,695,187200
21,4124,1054,2162,223100
17,2380,769,1216,271300
36,1266,228,606,194100
36,2239,391,1203,190400
38,1571,317,874,189100
38,1246,221,637,184600
36,1501,287,703,197300
36,1468,252,733,192600
36,1118,219,625,192200
36,1097,208,568,194600
36,1719,303,836,193500
24,1755,365,952,202600
16,1687,348,568,83300
24,2262,391,1125,212600
5,2087,407,840,187800
36,1480,278,796,205700
36,1545,273,863,192900
35,2632,447,1349,205200
30,2261,443,929,213400
39,1670,308,957,183600
37,2141,535,1093,178400
27,3337,613,1489,219200
31,3184,716,1561,183100
44,2341,500,1256,157100
30,1197,269,695,157800
34,1131,278,560,161700
38,1164,284,632,152100
41,3495,787,1849,144900
17,2488,617,1287,179900
35,2681,508,1580,179100
19,2495,635,1571,159900
23,1689,461,828,161400
29,1298,306,835,170400
19,2693,789,1765,137500
37,2444,651,1562,155200
42,1472,310,768,160900
10,2227,560,1140,167300
20,200,25,83,340000
32,1283,194,485,431000
6,2445,590,1189,301100
21,1307,236,586,241900
5,3785,936,2240,162500
10,2031,357,867,299200
10,8299,1326,3827,315500
23,7518,1279,3827,216800
36,1815,426,1280,218100
30,5367,1207,2667,170300
26,1167,370,253,275000
26,2607,682,1401,184100
29,493,168,233,160000
48,1252,305,673,175000
41,1382,353,704,197500
43,500,110,273,150000
29,2333,538,1120,205600
41,1834,463,1105,170300
43,1415,348,569,190900
37,1352,342,691,196900
37,2116,503,1109,174000
37,1976,481,1197,170200
38,1779,413,1061,180900
34,3659,897,2479,150500
31,1892,428,1162,167100
35,1958,484,1146,148900
40,1553,253,724,196400
37,2412,394,975,191100
36,2110,389,952,187500
45,2179,401,1159,180600
45,2457,445,1129,182800
44,2147,399,1175,179300
43,1676,340,924,179400
35,2976,518,1424,210300
34,3036,533,1366,192300
35,2472,398,1171,198100
36,1487,249,641,196200
38,2012,347,880,181600
37,3156,534,1495,188300
40,1748,318,914,184000
33,3429,681,1798,184700
42,3592,703,1625,179900
38,1035,247,599,167200
32,3028,811,2037,165400
33,2431,655,1854,154000
39,2069,500,1408,153500
40,1340,313,766,135400
39,1160,259,725,158300
32,2015,318,1019,240700
22,3882,816,1830,180700
27,3239,671,1469,230600
28,2932,739,1198,210800
38,2104,409,1039,165300
29,1694,251,690,254200
18,3000,419,1155,332600
23,2419,348,1066,350000
28,2280,610,1255,161200
21,5031,1168,2461,179300
33,1547,372,1063,154300
31,3300,790,2181,161800
17,5018,1439,3069,161900
35,1813,393,1093,165400
37,1997,436,1349,166600
37,901,191,599,149700
35,686,142,480,162100
33,1954,464,1293,152600
27,2630,722,1414,195200
35,1130,192,543,190600
35,1184,200,572,193800
34,656,115,342,200600
29,2544,643,2332,150000
36,1305,225,768,185300
36,1755,316,913,172700
35,2843,652,1726,174100
25,2538,494,1185,194400
28,1784,311,735,206700
31,1797,327,796,204500
36,410,76,252,175000
26,162,27,86,137500
18,9963,2031,5613,187200
35,2361,458,1727,173600
19,862,167,407,163000
18,4335,808,2041,331600
31,1487,280,854,197600
8,3592,849,1907,197900
40,432,102,264,228100
34,1457,242,735,189500
32,1578,284,836,184200
29,2172,435,1377,180900
36,1340,245,789,172000
36,1116,199,662,177900
36,1885,307,853,173100
36,1180,212,664,172600
30,5267,1253,4065,182100
23,1897,440,1109,179500
31,767,171,548,176000
33,691,127,431,192600
36,786,133,463,182700
22,5861,1516,5436,134900
27,2784,723,2028,157600
25,4524,860,2426,190900
37,1468,304,1038,158200
20,1655,450,857,350000
33,1227,286,848,158200
33,1160,252,729,146100
33,952,172,369,226700
35,2072,352,1001,198700
32,2964,547,1472,221200
35,1032,173,453,208500
35,657,118,328,204200
32,1540,324,793,193200
35,1298,236,632,209500
36,1409,271,1002,164900
37,1383,259,808,161400
36,1151,216,727,187000
35,899,179,455,190400
37,1793,364,1534,156600
17,2485,518,1139,157300
35,1931,376,1175,168100
24,2329,465,1401,177600
12,6711,1374,3388,208900
23,1939,356,841,169200
16,1642,346,705,163900
34,1619,293,1148,164700
35,517,108,391,156900
36,1570,274,992,168800
35,1213,221,790,174100
27,1826,309,1016,206500
26,2261,443,1039,203900
9,3666,711,2341,217000
36,1633,345,1382,159600
31,2155,522,1858,159800
32,1295,280,1156,154300
32,1295,295,1097,149600
33,1518,302,831,188600
17,3314,638,1873,238500
22,3009,497,1640,235300
6,2605,474,1568,261400
17,5159,832,3174,234400
18,1726,276,1186,231700
16,1816,365,1367,156300
13,2578,551,1680,222000
15,2576,418,1657,254400
16,1644,251,1033,244300
16,1606,240,1117,247000
16,3349,544,2003,236500
15,3475,686,2568,151400
16,1893,338,1461,213700
14,1727,302,1116,243600
15,6243,1273,3163,212500
24,2077,383,1488,214700
18,1165,333,855,213200
16,4371,889,2530,256000
2,838,295,240,237500
15,3052,760,2097,178100
17,4313,717,2629,231800
36,385,94,295,147900
10,3046,678,2056,191700
21,4342,783,2172,247600
15,3575,597,1777,283500
20,4126,1031,2079,216900
31,2878,478,1276,282500
6,4405,717,2071,295600
14,16199,2993,8117,281800
14,14917,2708,8012,269800
12,5719,1064,3436,231200
8,8647,1407,5019,318300
15,8112,1376,4576,253400
7,10648,1818,6075,278200
5,1150,311,648,300000
3,14014,2861,7205,273500
23,4332,857,2461,223400
35,1716,312,914,214500
31,4981,964,2841,220200
24,8444,1492,4446,240300
6,3028,778,1531,158000
26,2068,532,1434,224200
33,1325,274,909,177200
24,2563,485,1174,216100
18,5505,1005,2641,269700
20,6462,1294,3288,231200
4,3746,993,1606,162500
13,8918,1823,4518,254000
31,1949,344,986,196200
17,4924,1247,3080,189400
17,5133,1375,3386,220800
16,6647,2098,4649,213800
15,5674,748,2412,442900
21,10687,1540,4552,333400
25,1354,192,596,352400
27,3715,526,1631,305300
33,2095,342,941,259600
29,3517,645,1724,248900
31,2537,382,1067,356000
14,5106,1207,2738,236000
23,2215,475,1278,218800
28,2949,529,1538,228000
18,2375,652,1252,235900
28,2312,496,1344,203200
35,2277,420,1353,197000
26,2506,387,1273,236400
28,2829,566,1610,223200
26,3179,703,2142,222700
26,2332,371,1285,225000
18,3584,715,1673,240100
28,3046,507,1772,227900
28,2414,415,1106,268600
29,4133,744,2023,275100
34,2791,495,1276,256300
27,6103,1249,3026,332400
32,2572,406,1128,287600
26,1910,371,852,298900
27,1890,303,889,287600
25,5405,939,2831,222200
26,3761,623,1776,232600
25,3333,511,1671,258300
23,4925,948,2530,230900
33,3994,764,2721,196900
22,5811,1125,3215,223500
26,4211,741,2352,223900
27,5532,973,2855,243500
7,28258,3864,12203,451100
9,4909,577,1981,500001
10,7441,1588,3571,193100
23,4314,676,1972,264400
26,2016,322,1105,246900
13,5377,744,2759,337300
22,9167,1373,4319,284800
26,3087,532,1597,217300
23,3170,532,1446,291700
26,2145,369,1285,223800
25,4209,731,2568,223100
23,4247,835,2357,211300
25,4458,922,2998,218500
17,407,97,307,156300
20,6483,1068,3526,248200
35,1867,343,1213,186000
6,2918,672,1911,178200
34,2316,478,1524,190400
31,1240,264,719,210300
16,4458,856,3038,208000
18,1746,437,1268,183300
19,4572,712,2346,245700
21,4280,673,2216,242200
7,6352,1390,3223,181700
4,7477,1576,2937,299400
22,4638,716,2302,219500
25,4377,668,2038,231800
26,3816,637,1935,221300
26,2806,459,1453,213800
26,4822,845,2288,206000
15,6473,1027,2484,271100
6,8072,1050,3386,336500
46,1280,209,512,315600
24,3166,424,1081,500001
13,3742,555,1590,285400
18,7397,1137,3126,323000
23,1655,223,706,291900
3,2456,582,793,225600
23,2179,308,926,259600
20,1804,254,831,262900
18,3631,547,1700,257300
18,2876,423,1395,259200
12,7490,1207,3329,339700
23,2234,270,854,337200
22,1898,239,734,334100
16,4070,624,1543,311500
25,2244,301,937,296900
20,2948,471,1181,247900
19,2034,288,852,300400
15,2130,273,876,332400
7,9540,1294,3926,389800
29,2702,680,1360,233000
39,522,116,161,238500
52,775,134,315,233300
3,1565,464,769,231300
20,1309,184,514,475800
13,5519,833,2444,393200
10,4337,800,1813,247200
28,1812,294,853,229400
4,4719,741,1895,282500
14,4236,701,1833,300600
22,3634,664,1699,293200
27,1569,242,583,278500
13,13182,2074,4847,352900
43,228,40,83,400000
47,127,23,51,375000
13,9621,1344,4389,313700
4,6159,1510,2649,139300
16,4290,554,1952,327500
26,1786,306,771,430600
32,404,74,144,125000
17,1671,352,729,450000
12,5608,1049,2595,200200
11,12070,2220,5826,192400
25,494,81,254,418800
22,5533,943,2474,216800
17,3956,639,2222,215500
12,1906,351,802,227700
29,3433,711,1919,184400
36,1687,372,950,158400
34,2358,498,1157,174600
35,2853,588,1761,168400
25,6296,1082,3200,188400
9,3980,736,1705,256700
26,2647,536,1422,183800
35,1755,299,702,183400
35,1864,357,1189,177500
32,1078,207,555,186900
17,20354,3493,8768,238900
17,3112,872,1392,172500
44,495,112,277,179200
52,2157,418,929,204400
41,1501,299,629,209400
20,8068,1217,3489,264200
6,3023,518,1225,350000
26,2211,344,1024,199800
26,2163,339,947,211000
28,1773,278,804,201100
25,1947,418,900,193000
22,14701,2210,6693,245000
17,1364,282,338,117600
15,2061,465,573,97900
16,3045,543,202,140600
14,3545,702,946,120900
13,2944,558,1091,119000
16,1443,249,435,129200
17,2277,474,767,99100
18,1564,357,618,108900
15,4403,891,1103,111700
34,1133,254,495,68900
23,1001,195,369,96400
10,1783,337,638,116700
17,1521,309,607,123800
25,1374,297,657,97900
40,1391,246,546,129800
13,1473,265,597,121300
15,1248,234,529,107200
16,1748,322,4930,121900
28,3998,765,1614,113400
27,3471,653,1793,99100
18,2791,492,1187,103000
13,2084,449,834,114200
17,5654,1085,2237,144100
15,4221,816,1737,128600
9,1787,347,806,157200
18,2144,420,985,118500
23,1538,305,730,116700
15,3750,691,1444,134800
19,3267,614,1252,109900
16,1257,231,559,144300
37,1341,256,533,123600
12,9831,1921,4644,112600
23,6010,1116,2710,107300
12,7653,1578,3628,117800
17,5273,1177,2446,89900
14,2351,620,1215,102300
19,7254,1785,4030,87300
15,10265,1860,4591,142600
12,14631,3298,7517,153100
22,1707,296,822,126600
18,1651,309,856,118300
7,1737,290,747,147000
39,568,127,267,78100
39,1139,265,623,85800
41,2901,689,1426,84500
52,444,80,1107,137500
17,3425,827,2469,88900
13,3494,843,1571,120200
29,4362,1053,2053,74500
43,2976,599,1181,85100
34,3263,604,1290,130300
28,2551,378,1011,125200
29,7744,1375,3316,111400
37,2236,372,974,97000
11,7212,1355,3264,122600
8,5690,1189,2887,116300
8,140,28,84,179200
44,2923,659,1371,85800
52,677,152,379,94800
52,502,100,311,200000
52,857,232,520,112500
52,1457,389,802,69000
52,957,263,513,55000
52,1741,401,753,77900
18,7272,1559,5022,98800
52,1890,420,974,78700
21,5051,1054,2948,81300
33,2242,517,1160,60300
42,2978,694,1879,66300
18,1222,250,708,116700
11,5103,825,2456,159700
26,2741,451,1217,139200
16,1453,299,904,89600
38,549,105,275,153100
25,2202,422,1109,87500
24,1535,279,726,95100
20,1465,278,745,93800
16,2867,559,1203,95300
15,3996,748,1786,141300
17,858,262,47,67500
22,1468,285,611,73000
14,1527,269,665,119600
16,4591,904,1904,93200
10,1742,307,721,117900
11,3835,727,1456,97200
12,1958,369,875,97600
12,3744,699,1532,95300
11,3974,727,1610,107700
18,2672,533,1151,102900
20,743,171,395,88300
16,2754,570,1063,86500
18,945,205,385,58000
26,1503,343,699,84000
25,1612,313,837,89500
28,1677,327,770,93400
23,790,137,365,115200
18,2221,459,952,105700
24,1535,276,664,97300
19,2636,523,1184,108600
20,1384,257,557,104900
19,2487,485,1110,110200
18,1676,332,733,103800
20,908,206,481,80800
23,2263,497,1138,87300
22,2447,556,1157,85500
31,2431,512,1026,85000
